Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6, C7, C8, CRGB1, CRGB10, CRGB11, CRGB12, CRGB13, CRGB14, CRGB2, CRGB3, CRGB4, CRGB5, CRGB6, CRGB7, CRGB8, CRGB9",402,19,100n,
"C10, C2, C3",402,3,1u,
C4,402,1,4.7u,
C9,402,1,10n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D8, D9",D_SOD-123,69,1N4148,
F1,603,1,mSMD110-16V,
FB1,Ferrite_0603_1608Metric,1,BLM18KG121TN1D,
R1,603,1,10k,
"R2, R3",603,2,5.1K,
R4,402,1,470R,C25117
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB2, RGB3, RGB4, RGB5, RGB6, RGB7, RGB8, RGB9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,14,WS2812B,
SW1,SW_SPST_TL3342,1,RST,
SW2,SW_SPST_TL3342,1,BOOT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
U2,SOT-23-3,1,XC6206P332MR,
U3,SOT-23-6,1,USBLC6-2SC6,
